run_id,timestamp,step_name,stage,duration,status,error_type,error_message,failure_type,line_number,file_path,matched_line,exit_code,python_version
run_0143,2026-08-27T11:09:15.9976908Z,Check App Syntax,build,0.026,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0144,2026-08-27T11:09:36.5594949Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0145,2026-08-27T11:10:08.0674316Z,Check App Syntax,build,0.02,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0146,2026-08-27T11:10:31.6600129Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0147,2026-08-27T11:10:57.3463190Z,Check App Syntax,build,0.021,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0148,2026-08-27T11:11:18.7697529Z,Check App Syntax,build,0.023,failure,SyntaxError,cannot assign to function call here. Maybe you meant '==' instead of '='?,syntax_error,1,<string>,SyntaxError: cannot assign to function call here. Maybe you meant '==' instead of '='?,1,3.11.16
run_0149,2026-08-27T11:11:45.1236716Z,Check App Syntax,build,0.024,failure,SyntaxError,cannot use assignment expressions with expression,syntax_error,1,<string>,SyntaxError: cannot use assignment expressions with expression,1,3.11.16
run_0150,2026-08-27T11:12:05.8513696Z,Check App Syntax,build,0.02,failure,SyntaxError,'(' was never closed,syntax_error,1,<string>,SyntaxError: '(' was never closed,1,3.11.16
run_0151,2026-08-27T11:12:27.8816016Z,Check App Syntax,build,0.022,failure,SyntaxError,cannot assign to literal here. Maybe you meant '==' instead of '='?,syntax_error,1,<string>,SyntaxError: cannot assign to literal here. Maybe you meant '==' instead of '='?,1,3.11.16
run_0152,2026-08-27T11:13:00.8897560Z,Check App Syntax,build,0.018,failure,SyntaxError,cannot delete literal,syntax_error,1,<string>,SyntaxError: cannot delete literal,1,3.11.16
run_0153,2026-08-27T11:13:22.8832646Z,Check App Syntax,build,0.025,failure,SyntaxError,cannot assign to function call here. Maybe you meant '==' instead of '='?,syntax_error,1,<string>,SyntaxError: cannot assign to function call here. Maybe you meant '==' instead of '='?,1,3.11.16
run_0154,2026-08-27T11:13:53.6094781Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0155,2026-08-27T11:14:21.6176671Z,Check App Syntax,build,0.018,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0156,2026-08-27T11:14:48.3494124Z,Check App Syntax,build,0.023,failure,SyntaxError,'[' was never closed,syntax_error,1,<string>,SyntaxError: '[' was never closed,1,3.11.16
run_0157,2026-08-27T11:15:08.3847614Z,Check App Syntax,build,0.026,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0158,2026-08-27T11:15:30.1998794Z,Check App Syntax,build,0.026,failure,SyntaxError,Invalid star expression,syntax_error,1,<string>,SyntaxError: Invalid star expression,1,3.11.16
run_0159,2026-08-27T11:15:56.5315709Z,Check App Syntax,build,0.026,failure,SyntaxError,unterminated string literal (detected at line 4),syntax_error,1,<string>,SyntaxError: unterminated string literal (detected at line 4),1,3.11.16
run_0160,2026-08-27T11:16:23.2822026Z,Check App Syntax,build,0.026,failure,SyntaxError,unterminated string literal (detected at line 4),syntax_error,1,<string>,SyntaxError: unterminated string literal (detected at line 4),1,3.11.16
run_0161,2026-08-27T11:16:43.5985718Z,Check App Syntax,build,0.019,failure,SyntaxError,unterminated triple-quoted string literal (detected at line 5),syntax_error,1,<string>,SyntaxError: unterminated triple-quoted string literal (detected at line 5),1,3.11.16
run_0162,2026-08-27T11:17:17.3869282Z,Check App Syntax,build,0.02,failure,SyntaxError,f-string: empty expression not allowed,syntax_error,1,<string>,SyntaxError: f-string: empty expression not allowed,1,3.11.16
run_0163,2026-08-27T11:17:37.4661512Z,Check App Syntax,build,0.021,failure,SyntaxError,f-string expression part cannot include a backslash,syntax_error,1,<string>,SyntaxError: f-string expression part cannot include a backslash,1,3.11.16
run_0164,2026-08-27T11:17:57.2187095Z,Check App Syntax,build,0.025,failure,SyntaxError,f-string: expecting '}',syntax_error,1,<string>,SyntaxError: f-string: expecting '}',1,3.11.16
run_0165,2026-08-27T11:18:18.2908879Z,Check App Syntax,build,0.018,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0166,2026-08-27T11:18:44.9935561Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax. Perhaps you forgot a comma?,syntax_error,1,<string>,SyntaxError: invalid syntax. Perhaps you forgot a comma?,1,3.11.16
run_0167,2026-08-27T11:19:12.5539892Z,Check App Syntax,build,0.023,failure,SyntaxError,'[' was never closed,syntax_error,1,<string>,SyntaxError: '[' was never closed,1,3.11.16
run_0168,2026-08-27T11:19:45.7394534Z,Check App Syntax,build,0.018,failure,SyntaxError,invalid syntax. Perhaps you forgot a comma?,syntax_error,1,<string>,SyntaxError: invalid syntax. Perhaps you forgot a comma?,1,3.11.16
run_0169,2026-08-27T11:20:05.2121009Z,Check App Syntax,build,0.02,failure,SyntaxError,'(' was never closed,syntax_error,1,<string>,SyntaxError: '(' was never closed,1,3.11.16
run_0170,2026-08-27T11:20:26.7931411Z,Check App Syntax,build,0.025,failure,IndentationError,expected an indented block after function definition on line 1,syntax_error,1,<string>,IndentationError: expected an indented block after function definition on line 1,1,3.11.16
run_0171,2026-08-27T11:20:54.6357798Z,Check App Syntax,build,0.024,failure,IndentationError,unindent does not match any outer indentation level,syntax_error,1,<string>,IndentationError: unindent does not match any outer indentation level,1,3.11.16
run_0172,2026-08-27T11:21:20.5989887Z,Check App Syntax,build,0.024,failure,IndentationError,unindent does not match any outer indentation level,syntax_error,1,<string>,IndentationError: unindent does not match any outer indentation level,1,3.11.16
run_0173,2026-08-27T11:21:40.6614978Z,Check App Syntax,build,0.026,failure,IndentationError,unexpected indent,syntax_error,1,<string>,IndentationError: unexpected indent,1,3.11.16
